PlanetName,HostName,NumOfStars,NumOfPlanets,DiscoveryMethod,DiscoveryYear,DiscoveryFacility,ControversialFlag,OrbitalPeriod,OrbitSemi-MajorAxis,Eccentricity,EquilibriumTemperature,StellarEffectiveTemperature,StellarMetallicity,StellarSurfaceGravity,RightAscension,Declination,DistancetoPlanetarySystem,StellarBrightnessGaia,PlanetMass,StellarMass,PlanetRadiusKm,StellarRadiusKm,PlanetGravity,StellarVolume,StellarDensity
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,0.7365474,0.01544,0.05,836.3887269827474,5172.0,0.35,4.43,133.1468373,28.3298154,12.5855,5.72973,4.7719476e+25,1.8095350000000002e+30,11945.625,653958.0,22319457.55669827,1.1714889059751555e+18,1544645442880.8533
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,0.736546,0.01583,0.0,828.3059484045418,5250.0,0.35,4.42,133.1468373,28.3298154,12.5855,5.72973,4.9988987999999996e+25,1.7896500000000001e+30,13844.183,667872.0,17407860.81573337,1.247867053442921e+18,1434167201595.9358
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,0.7365437,0.01544,0.061,1958.0,5234.0,0.31,4.45,133.1468373,28.3298154,12.5855,5.72973,4.6644443999999994e+25,1.8095350000000002e+30,13251.68,653958.0,17728164.146604326,1.1714889059751555e+18,1544645442880.8533
AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.46308,0.0649,0.00577,600.0,3678.0,0.23,4.4,311.2911369,-31.34245,9.7221,7.84038,1.0125081010527988e+30,1.014135e+30,25210.047,514818.0,106330270729.02777,5.7154414295829965e+17,1774377381860.4106
AU Mic c,AU Mic,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,18.85969,0.1108,0.00338,459.0,3678.0,0.23,4.4,311.2911369,-31.34245,9.7221,7.84038,1.0145454093367643e+30,1.014135e+30,16067.661999999998,514818.0,262284024637.27026,5.7154414295829965e+17,1774377381860.4106
BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,0,41.6855,0.241,0.0,546.0,5766.0,-0.15,4.5,53.6511231,20.5990205,179.461,10.8644,9.735012e+25,1.90896e+30,14207.33,647001.0,32189725.89774772,1.1344972958104877e+18,1682648347465.8564
BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,0,41.6855,1.1152410502731903e+19,0.0,1499.1510260023906,5766.0,-0.15,4.5,53.6511231,20.5990205,179.461,10.8644,1.3287455244000001e+26,3.3207949999999996e+30,16424.438,751356.0,32875056.066543385,1.776748206952909e+18,1869029605323.2566
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,CoRoT,0,1.5089557,1.0111884678809848e+18,0.0,1898.0,5950.0,-0.3,4.25,102.0798591,-3.1021394,787.909,13.457,1.95506514e+27,1.889075e+30,106395.7,772227.0000000001,11527066.622700457,1.9289614824842624e+18,979322302261.3735
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,CoRoT,0,13.2406,0.1055,0.53,600.0,5075.0,0.26,4.65,291.0636813,0.7460143,338.386,14.6645,5.2198776e+27,1.769765e+30,69252.76999999999,549603.0,72642661.02375513,6.954019325114433e+17,2544952662999.5054
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,CoRoT,0,2.99433,0.0436,0.0,1657.0,6440.0,-0.03,4.22,280.6872998,5.9376586,655.037,12.841,4.422621924e+27,2.525395e+30,102127.13,953109.0000000001,28301097.87402038,3.6267391532294564e+18,696326615535.9542
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,CoRoT,0,2.828042,0.04016,0.07,1442.0,5675.0,0.16,4.38,100.7656871,-1.2964437,1126.37,15.3453,1.7405843112e+27,2.14758e+30,102827.94,779184.0000000001,10986984.640926054,1.9815666635690836e+18,1083778829894.0712
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,CoRoT,0,4.03519,0.051,0.0,1700.0,5945.0,0.01,4.46,102.7211432,-5.0864557,1148.93,14.9147,2.4827505696000003e+27,2.167465e+30,63200.32,702657.0,41485875.47114685,1.4531777536228828e+18,1491534669173.365
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,CoRoT,0,1.51214,0.027,0.0,1952.0,6035.0,0.05,4.35,103.4242023,-5.5360385,1744.6,15.8116,1.4425734960000001e+28,2.2470049999999998e+30,77853.62000000001,841797.0,158849572.52059394,2.498680516068516e+18,899276632426.5784
CoRoT-16 b,CoRoT-16,1,1,Transit,2011,CoRoT,0,5.35227,0.0618,0.33,989.961519968652,5650.0,0.19,4.36,278.5246658,-6.0026026,732.409,15.6507,1.0154991168000001e+27,2.18735e+30,83523.81,827883.0,9715489.352198875,2.376815678250709e+18,920285918683.3739
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,CoRoT,0,3.7681,0.0461,0.0,1626.0,5740.0,0.0,4.4,278.699236,-6.612288,1176.12,15.4368,4.612424796e+27,2.06804e+30,72820.53,1106163.0,58053358.67667652,5.66951609238958e+18,364764817014.27985
CoRoT-18 b,CoRoT-18,1,1,Transit,2011,CoRoT,0,1.9000693,0.0295,0.08,1550.0,5440.0,-0.1,4.4,98.1724172,-0.0316045,764.889,14.8009,6.586482168e+27,1.889075e+30,93526.28,695700.0,50256463.29912802,1.410440010853996e+18,1339351539564.0251
CoRoT-19 b,CoRoT-19,1,1,Transit,2011,CoRoT,0,3.89713,0.0518,0.047,2000.0,6090.0,-0.02,4.07,97.0335983,-0.1707293,790.663,13.7831,2.106943272e+27,2.406085e+30,92124.66,1147905.0,16569399.539807579,6.335872833757507e+18,379755885752.6919
CoRoT-2 b,CoRoT-2,2,1,Transit,2008,CoRoT,0,1.7429975,1.1209726085601718e+18,0.0,1535.0,5625.0,0.0,4.3,291.7770457,1.3836634,213.283,12.2489,6.28306812252e+27,1.928845e+30,100980.34999999999,626130.0,41124795.26242318,1.0282107679125631e+18,1875923750454.2698
CoRoT-20 b,CoRoT-20,1,2,Transit,2011,CoRoT,0,9.24285,0.0902,0.562,1002.0,5880.0,0.14,4.2,97.7204249,0.2268931,844.061,14.4686,8.048047896e+27,2.2668899999999998e+30,60014.82,709614.0,149134890.6884094,1.4967702230383475e+18,1514521043449.3804
CoRoT-22 b,CoRoT-22,1,1,Transit,2014,CoRoT,0,9.75598,0.092,0.077,885.0,5939.0,0.17,4.36,280.6671392,6.2191669,627.158,13.7305,7.286328e+25,2.18735e+30,31090.48,793097.9999999999,5031061.04536199,2.0896289354406717e+18,1046764792974.4619
CoRoT-23 b,CoRoT-23,1,1,Transit,2011,CoRoT,0,3.6313,0.048,0.16,1660.0,5900.0,0.05,4.3,279.7826586,4.3577516,1060.97,15.0681,5.31483876e+27,2.2668899999999998e+30,74986.67,1120077.0,63085228.6335623,5.886162498936775e+18,385121885508.5076
CoRoT-24 b,CoRoT-24,1,2,Transit,2014,CoRoT,0,5.1134,0.056,0.0,1070.0,4950.0,0.3,4.55,101.922543,-3.7192892,591.555,15.1801,3.404268e+25,1.8095350000000002e+30,23572.7,598302.0,4088940.658518308,8.971188315437494e+17,2017051628362.519
CoRoT-24 c,CoRoT-24,1,2,Transit,2014,CoRoT,0,11.759,0.098,0.0,850.0,4950.0,0.3,4.55,101.922543,-3.7192892,591.555,15.1801,1.672272e+26,1.8095350000000002e+30,31855.0,598302.0,10999106.899812194,8.971188315437494e+17,2017051628362.519
CoRoT-25 b,CoRoT-25,1,1,Transit,2013,CoRoT,0,4.86069,0.0578,0.0,1330.0,6040.0,-0.01,4.31,280.6296561,6.5138223,1103.48,14.711,5.1249164400000005e+26,2.167465e+30,77152.81,827883.0,5746309.530422708,2.376815678250709e+18,911919683058.9796
CoRoT-26 b,CoRoT-26,1,1,Transit,2013,CoRoT,0,4.20474,0.0526,0.0,1600.0,5590.0,0.01,3.99,279.7504991,6.9697828,1045.18,15.4682,9.86998824e+26,2.167465e+30,89958.51999999999,1245303.0,8140250.23068123,8.089351601411347e+18,267940510784.80048
CoRoT-27 b,CoRoT-27,1,1,Transit,2014,CoRoT,0,3.57532,0.0476,0.065,1500.0,5900.0,-0.1,4.4,278.4958319,5.5383811,1010.28,15.3902,1.9721521764e+28,2.087925e+30,71909.477,751356.0,254550460.2376269,1.776748206952909e+18,1175138374604.4429
CoRoT-28 b,CoRoT-28,1,1,Transit,2015,CoRoT,0,5.20851,0.0603,0.047,917.2165127648024,5150.0,0.15,3.6,278.6883216,5.5736911,766.183,13.4119,9.18732619728e+26,2.008385e+30,68201.55500000001,1238346.0,13182758.81638427,7.954531872093846e+18,252483116831.27863
CoRoT-29 b,CoRoT-29,1,1,Transit,2015,CoRoT,0,2.85057,0.0386,0.082,884.8853984519803,5260.0,0.2,4.3,278.9020691,6.4795703,806.507,15.2394,1.6134767082e+27,1.928845e+30,64270.647999999994,626130.0,26070122.19405245,1.0282107679125631e+18,1875923750454.2698
CoRoT-30 b,CoRoT-30,1,1,Transit,2020,CoRoT,0,9.06005,0.0844,0.007,892.9681770301859,5650.0,0.02,4.4,277.6011767,6.8359338,1032.23,15.413,5.504802886800001e+27,1.94873e+30,72056.01000000001,633087.0,70763136.81463027,1.0628666894192566e+18,1833466058725.364
CoRoT-31 b,CoRoT-31,1,1,Transit,2020,CoRoT,0,4.62941,0.0586,0.02,1111.2031986417348,5700.0,0.0,3.85,94.820735,-4.4222978,2005.76,15.4655,1.59449462928e+27,2.485625e+30,104261.415,1495755.0,9789974.372906651,1.4017481742871083e+19,177323220075.82584
CoRoT-35 b,CoRoT-35,1,1,Transit,2022,CoRoT,0,3.22748,0.0429,0.0,1747.0,6390.0,-0.5,4.01,289.3143526,-2.7747085,1123.21,15.2625,2.0880182294999999e+27,2.008385e+30,119972.30099999999,1147905.0,9682288.805219395,6.335872833757507e+18,316986317859.685
CoRoT-36 b,CoRoT-36,1,1,Transit,2022,CoRoT,0,5.616531,0.066,0.0,1567.0,6730.0,-0.1,4.16,277.7510149,7.1833465,925.958,12.9515,1.290774916368e+27,2.6248200000000003e+30,100693.655,1057464.0,8496734.155175103,4.95319451363715e+18,529924676443.3212
CoRoT-5 b,CoRoT-5,1,1,Transit,2009,CoRoT,0,4.0378962,0.04947,0.09,1438.0,6100.0,-0.25,4.19,101.2772396,0.8152163,882.472,13.9021,8.86423608e+26,1.9885e+30,99120.018,827883.0,6021771.795709967,2.376815678250709e+18,836623562439.4308
CoRoT-6 b,CoRoT-6,1,1,Transit,2009,CoRoT,0,8.886593,0.0855,0.1,1017.0,6090.0,-0.2,4.43,281.0725563,6.6632062,645.294,13.7459,5.618475576e+27,2.087925e+30,83256.228,709614.0,54099189.563150406,1.4967702230383475e+18,1394953592650.745
CoRoT-7 b,CoRoT-7,1,3,Transit,2009,CoRoT,0,0.85359163,6.585336360410284e+17,0.0,766.5058694055242,5275.0,0.05,4.5,100.9561682,-1.0630076,159.906,11.5239,2.4347145563999997e+25,1.6305699999999998e+30,10709.651,577431.0,14167823.533340536,8.064712624861738e+17,2021857536464.8586
CoRoT-7 b,CoRoT-7,1,3,Transit,2009,CoRoT,0,0.85359159,0.017016,0.0,1756.0,5259.0,0.138,4.57,100.9561682,-1.0630076,159.906,11.5239,3.4281576000000003e+25,1.8095350000000002e+30,10098.035,570474.0,22438445.147842057,7.77671487904546e+17,2326862985392.2437
CoRoT-8 b,CoRoT-8,1,1,Transit,2010,CoRoT,0,6.21229,0.063,0.0,812.1403912481308,5080.0,0.3,4.58,291.5885696,1.4262972,322.037,14.2195,4.17590208e+26,1.74988e+30,40710.689999999995,535689.0,16816635.21458408,6.439124094752074e+17,2717574586621.4365
CoRoT-9 b,CoRoT-9,2,1,Transit,2009,CoRoT,0,95.272656,0.4021,0.133,420.0,5625.0,-0.01,4.54,280.7866461,6.2040783,412.98,13.5008,1.59449462928e+27,1.90896e+30,76127.079,667872.0,18363288.27367823,1.247867053442921e+18,1529778348368.998
CoRoT-9 b,CoRoT-9,2,1,Transit,2009,CoRoT,0,95.2738,0.407,0.11,901.0509556083914,5625.0,-0.01,4.54,280.7866461,6.2040783,412.98,13.5008,1.594451628e+27,1.968615e+30,74986.67,653958.0,18925568.59006869,1.1714889059751555e+18,1680438448848.4006
EPIC 211945201 b,EPIC 211945201,1,1,Transit,2018,K2,0,19.49213,0.148,0.0,886.0,6025.0,0.1,4.25,136.5741931,19.4020565,181.69,10.0512,1.612548e+26,2.34643e+30,38990.520000000004,960065.9999999999,7079463.062677767,3.706737900205082e+18,633017511130.2527
EPIC 212737443 b,EPIC 212737443,1,2,Transit,2019,K2,0,13.603,0.098,0.2,536.0,4684.0,-0.137,4.62,204.2215065,-7.3180577,336.25,14.4776,1.3493671701533085e+30,1.372065e+30,16475.406,466119.0,331790244169.1048,4.242081689844804e+17,3234414375575.584
EPIC 212737443 c,EPIC 212737443,1,2,Transit,2019,K2,0,65.55,0.28,0.2,316.0,4684.0,-0.137,4.62,204.2215065,-7.3180577,336.25,14.4776,1.3553454765488337e+30,1.372065e+30,17137.989999999998,466119.0,307989537866.20984,4.242081689844804e+17,3234414375575.584
EPIC 220674823 b,EPIC 220674823,1,2,Transit,2016,K2,0,0.571308,5.254698061082349e+17,0.0,854.838105537254,5590.0,0.025,4.56,13.0800239,10.7947051,244.59,11.9535,1.179299179137693e+89,1.8493050000000002e+30,9301.66,577431.0,9.097222109304178e+70,8.064712624861738e+17,2293082327941.8525
EPIC 220674823 b,EPIC 220674823,1,2,Transit,2016,K2,0,0.571292,0.0116,0.0,2333.0,5470.0,-0.025,4.53,13.0800239,10.7947051,244.59,11.9535,4.9929263999999994e+25,1.86919e+30,9683.92,605259.0,35535178.54145152,9.287789784673889e+17,2012524016299.7837
EPIC 220674823 c,EPIC 220674823,1,2,Transit,2016,K2,0,13.341245,4.2930419833125565e+18,0.0,871.2129035887273,5590.0,0.025,4.56,13.0800239,10.7947051,244.59,11.9535,1.179299179137692e+89,1.8493050000000002e+30,16118.63,577431.0,3.029517512879871e+70,8.064712624861738e+17,2293082327941.8525
EPIC 220674823 c,EPIC 220674823,1,2,Transit,2016,K2,0,13.3397,0.105,0.18,774.0,5470.0,-0.025,4.53,13.0800239,10.7947051,244.59,11.9535,3.463992e+25,1.86919e+30,15927.5,605259.0,9113545.716987249,9.287789784673889e+17,2012524016299.7837
EPIC 248847494 b,EPIC 248847494,1,1,Transit,2018,K2,0,3650.0,4.5,0.0,183.0,4898.0,-0.23,3.52,159.3890808,11.8427484,551.886,12.1722,2.4676702596e+28,1.7896500000000001e+30,79267.982,1878390.0000000002,262118241.97072905,2.7761690733639213e+19,64464733692.58657
EPIC 249893012 b,EPIC 249893012,1,3,Transit,2020,K2,0,3.5951,0.047,0.06,1616.0,5430.0,0.2,3.99,228.2482353,-16.7246474,321.296,11.4019,5.22585e+25,2.087925e+30,12423.449999999999,1189647.0,22598428.04859508,7.05249765711227e+18,296054688922.06995
EPIC 249893012 c,EPIC 249893012,1,3,Transit,2020,K2,0,15.624,0.13,0.07,990.0,5430.0,0.2,3.99,228.2482353,-16.7246474,321.296,11.4019,8.7615108e+25,2.087925e+30,23381.57,1189647.0,10696393.849922316,7.05249765711227e+18,296054688922.06995
EPIC 249893012 d,EPIC 249893012,1,3,Transit,2020,K2,0,35.747,0.22,0.15,752.0,5430.0,0.2,3.99,228.2482353,-16.7246474,321.296,11.4019,6.0799032e+25,2.087925e+30,25101.739999999998,1189647.0,6440131.491043599,7.05249765711227e+18,296054688922.06995
G 9-40 b,G 9-40,1,1,Transit,2019,K2,0,5.746007,0.0385,0.0,456.0,3348.0,0.04,4.93,134.7188514,21.0747961,27.9276,12.7331,6.987708e+25,5.76665e+29,12901.275,215667.0,28020456.534892913,4.201841836335139e+16,13724100584018.393
GJ 1214 b,GJ 1214,1,1,Transit,2009,MEarth Project,0,1.58040453,0.01505,0.0062,567.0,3101.0,0.24,5.03,258.8313991,4.9606795,14.6427,13.0089,5.0227884e+25,3.5793e+29,17411.943,153054.0,11057479.24068769,1.501836523557335e+16,23832820309376.066
GJ 1214 b,GJ 1214,1,1,Transit,2009,MEarth Project,0,1.58040433,0.0149,0.063,596.0,3250.0,0.29,5.03,258.8313991,4.9606795,14.6427,13.0089,4.8794508e+25,3.5793e+29,17469.282,146097.0,10671526.714631379,1.3062084940518858e+16,27402210415099.484
GJ 143 b,GJ 143,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,35.61253,0.1915,0.188,422.0,4640.0,0.003,4.61,51.7501882,-63.500166,16.32,7.67906,1.3557348e+26,1.451605e+30,16628.309999999998,480032.99999999994,32725345.685531322,4.6334223752563526e+17,3132900224576.8438
GJ 3090 b,GJ 3090,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,2.8531054,0.03165,0.32,693.0,3556.0,-0.06,4.73,20.4384281,-46.7147234,22.4751,10.5521,1.9947816e+25,1.03402e+30,13570.23,361764.0,7229806.272173875,1.9831914904615866e+17,5213919104500.254
GJ 3470 b,GJ 3470,1,1,Radial Velocity,2012,La Silla Observatory,0,3.3366487,0.031,0.017,604.0,3652.0,0.18,4.78,119.7735021,15.391209,29.4214,11.3537,8.200105200000001e+25,1.014135e+30,24719.48,333936.0,8956668.205594702,1.5598338168036512e+17,6501557980568.242
GJ 3470 b,GJ 3470,1,1,Radial Velocity,2012,La Silla Observatory,0,3.336649,1.3948804493081613e+18,0.114,615.0,3652.0,0.2,4.66,119.7735021,15.391209,29.4214,11.3537,7.5132792000000005e+25,1.014135e+30,24719.48,333936.0,8206473.85479835,1.5598338168036512e+17,6501557980568.242
GJ 3473 b,GJ 3473,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,1.1980035,0.01589,0.0,773.0,3347.0,0.11,4.81,120.5936065,3.3371629,27.3644,12.465,1.1108664e+25,7.1586e+29,8052.944,250452.0,11432947.168057427,6.580548914640404e+16,10878423810623.986
GJ 367 b,GJ 367,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,0.321962,0.0071,0.0,1745.0,3522.0,-0.01,4.78,146.121464,-45.7790165,9.41263,9.15159,3.2609304000000003e+24,8.948250000000001e+29,4574.378,320022.0,10401192.987442771,1.3728658889648456e+17,6517934542569.974
GJ 367 b,GJ 367,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,0.3219225,0.00709,0.06,1365.0,3522.0,-0.01,4.78,146.121464,-45.7790165,9.41263,9.15159,3.7805292e+24,9.147100000000001e+29,4453.329,320022.0,12722977.490070632,1.3728658889648456e+17,6662777532404.861
GJ 3929 b,GJ 3929,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,2.616235,0.0252,0.0,568.0,3384.0,-0.02,4.89,239.5775678,35.4081141,15.8095,11.5109,1.04517e+25,6.16435e+29,6944.39,222624.0,14465200.345893908,4.621729827566374e+16,13337754974842.201
GJ 414 A b,GJ 414 A,2,2,Radial Velocity,2021,W. M. Keck Observatory,0,50.8,0.2324,0.45,309.0,4120.0,0.24,4.65,167.7745044,30.4451688,11.8893,7.72808,4.539024e+25,1.2925250000000002e+30,16755.73,473076.00000000006,10790498.174059793,4.4348747349284384e+17,2914456613216.735
GJ 414 A c,GJ 414 A,2,2,Radial Velocity,2021,W. M. Keck Observatory,0,749.83,1.4,0.105,125.0,4120.0,0.24,4.65,167.7745044,30.4451688,11.8893,7.72808,3.21494292e+26,1.2925250000000002e+30,53516.4,473076.00000000006,7492128.335774143,4.4348747349284384e+17,2914456613216.735
GJ 436 b,GJ 436,1,1,Radial Velocity,2004,W. M. Keck Observatory,0,2.64389803,0.0308,0.1616,553.4914767455542,3416.0,0.02,4.84,175.5505363,26.7030669,9.75321,9.57148,1.5169895999999999e+26,1.11356e+30,26121.1,320022.0,14839026.262812832,1.3728658889648456e+17,8111207430753.744
GJ 9827 b,GJ 9827,1,3,Transit,2017,K2,0,1.2089819,0.0188,0.0,593.9053696365818,4340.0,-0.26,4.66,351.7717763,-1.2853435,29.661,9.83773,2.9324484000000002e+25,1.212985e+30,10047.067,417420.0,19389093.53595693,3.0465504234446317e+17,3981503114688.3784
GJ 9827 c,GJ 9827,1,3,Transit,2017,K2,0,3.6480957,0.03925,0.0,593.9053696365818,4340.0,-0.26,4.66,351.7717763,-1.2853435,29.661,9.83773,5.016816e+24,1.212985e+30,7906.411000000001,417420.0,5356426.171648857,3.0465504234446317e+17,3981503114688.3784
GJ 9827 d,GJ 9827,1,3,Transit,2017,K2,0,6.2014698,0.05591,0.0,593.9053696365818,4340.0,-0.26,4.66,351.7717763,-1.2853435,29.661,9.83773,2.4128496e+25,1.212985e+30,12882.161999999998,417420.0,9704171.494521756,3.0465504234446317e+17,3981503114688.3784
GPX-1 b,GPX-1,1,1,Transit,2021,Acton Sky Portal Observatory,0,1.744579,0.0338,0.0,2300.0,7000.0,0.35,4.27,38.3691648,56.025708,655.013,12.2228,3.7394508058488e+28,3.3406799999999996e+30,104974.967,1085292.0,226486361.21238887,5.354617024246284e+18,623887756094.0474
HAT-P-1 b,HAT-P-1,2,1,Transit,2006,HATNet,0,4.46529,0.0551,0.0,1006.1270771250631,5975.0,0.13,4.45,344.4453632,38.674919,158.979,10.1786,1.0060501827600001e+27,2.22712e+30,97119.524,800054.9999999999,7118889.92209262,2.1451029515075702e+18,1038234551136.4797
HAT-P-11 b,HAT-P-11,1,2,Transit,2008,HATNet,0,4.88780271,0.053,0.0,801.0,4777.0,0.32,4.59,297.7101763,48.0818635,37.7647,9.15098,1.6531854785239714e+30,1.6504549999999998e+30,30835.64,535689.0,116043647731.58688,6.439124094752074e+17,2563166939654.309
HAT-P-11 b,HAT-P-11,1,2,Transit,2008,HATNet,0,4.88780308,0.053,0.0,800.0,4778.0,0.32,4.59,297.7101763,48.0818635,37.7647,9.15098,1.6531852282362268e+30,1.6504549999999998e+30,30708.22,528732.0,117008645802.5844,6.191493142046437e+17,2665681705745.191
HAT-P-11 b,HAT-P-11,1,2,Transit,2008,HATNet,0,4.88782,2.1579643864856458e+18,0.2,821.5194367896536,4708.0,0.29,4.37,297.7101763,48.0818635,37.7647,9.15098,1.7083871028000003e+26,1.74988e+30,30708.22,535689.0,12091570.744223043,6.439124094752074e+17,2717574586621.4365
HAT-P-12 b,HAT-P-12,1,1,Transit,2009,HATNet,0,3.2130579,1.532944979799329e+18,0.0,975.0,4650.0,-0.29,4.61,209.3886452,43.49331,142.751,12.4197,4.00521865212e+26,1.451605e+30,67768.327,486989.99999999994,5820743.006047596,4.8378092372292045e+17,3000542040453.395
HAT-P-12 b,HAT-P-12,1,1,Transit,2009,HATNet,0,3.2130598,0.0384,0.0,963.0,4650.0,-0.29,4.61,209.3886452,43.49331,142.751,12.4197,4.005031716e+26,1.451605e+30,68481.879,486989.99999999994,5699809.5853011925,4.8378092372292045e+17,3000542040453.395
HAT-P-13 b,HAT-P-13,1,2,Transit,2009,HATNet,0,2.91626,0.0427,0.021,1653.0,5653.0,0.41,4.13,129.8823772,47.3519076,246.81,10.4168,1.6191056952e+27,2.42597e+30,91481.189,1085292.0,12912707.78090168,5.354617024246284e+18,453061346687.344
HAT-P-14 b,HAT-P-14,2,1,Transit,2010,HATNet,0,4.627649,0.0596,0.066,1612.0,6583.0,0.08,4.1,260.1161719,38.2421682,222.663,9.87283,4.32791399376e+27,2.6248200000000003e+30,85696.321,1064421.0,39333264.24932386,5.051599502754423e+18,519601761495.3041
HAT-P-14 b,HAT-P-14,2,1,Transit,2010,HATNet,0,4.627669,0.0606,0.107,1570.0,6600.0,0.11,4.25,260.1161719,38.2421682,222.663,9.87283,4.2366234708e+27,2.764015e+30,82122.19,1022679.0,41928038.61319514,4.4802951345979684e+18,616926991852.7418
HAT-P-14 b,HAT-P-14,2,1,Transit,2010,HATNet,0,4.62767,3.0046700784692106e+18,0.11,2255.851236931298,6600.0,0.11,4.25,260.1161719,38.2421682,222.663,9.87283,6.52983514848e+27,5.269525e+30,101407.207,1266174.0,42380912.008729726,8.502933515354053e+18,619730236686.507
HAT-P-15 b,HAT-P-15,1,1,Transit,2010,HATNet,0,10.863502,0.0964,0.19,904.0,5568.0,0.22,4.38,66.248142,39.460602,192.516,11.7232,3.6937562004e+27,2.008385e+30,76553.936,751356.0,42066744.27504352,1.776748206952909e+18,1130371198429.0356
HAT-P-15 b,HAT-P-15,1,1,Transit,2010,HATNet,0,10.8635,3.8351859481309583e+18,0.19,925.8023983652067,5568.0,0.22,4.38,66.248142,39.460602,192.516,11.7232,3.68252331048e+27,1.9885e+30,75700.222,744399.0,42890086.49157992,1.7278496622166118e+18,1150852440164.8503
HAT-P-16 b,HAT-P-16,3,1,Transit,2010,HATNet,0,2.77596,0.0413,0.036,1626.0,6158.0,0.17,4.34,9.5730343,42.4630961,226.637,10.7568,7.958850102000001e+27,2.42597e+30,92048.208,862668.0,62693912.405558355,2.689178775254489e+18,902122990975.3469
HAT-P-17 b,HAT-P-17,1,2,Transit,2010,HATNet,0,10.338523,0.0882,0.342,792.0,5246.0,0.0,4.52,324.5359781,30.4881882,92.3831,10.2743,1.013576004e+27,1.7101099999999998e+30,72126.091,584388.0,13004008.747255534,8.359734361932069e+17,2045651124738.3293
HAT-P-17 b,HAT-P-17,1,2,Transit,2010,HATNet,0,10.33852,3.698201405866329e+18,0.35,917.1242511755307,5246.0,0.0,4.53,324.5359781,30.4881882,92.3831,10.2743,1.10096057736e+27,1.968615e+30,74980.299,605259.0,13070227.773405045,9.287789784673889e+17,2119573166102.9639
HAT-P-18 b,HAT-P-18,1,1,Transit,2010,HATNet,0,5.508023,0.0559,0.084,852.0,4803.0,0.1,4.57,256.346376,33.0123251,161.4,12.3682,3.73931964e+26,1.531145e+30,71055.763,521775.0,4943103.451531172,5.950293795790296e+17,2573225881860.2397
HAT-P-18 b,HAT-P-18,1,1,Transit,2010,HATNet,0,5.507978,0.0559,0.009,841.0,4870.0,0.1,4.61,256.346376,33.0123251,161.4,12.3682,3.72048746832e+26,1.531145e+30,67628.16500000001,500904.0,5429381.546827517,5.264439131712323e+17,2908467477145.996
HAT-P-19 b,HAT-P-19,1,1,Transit,2010,HATNet,0,4.008778,0.0466,0.067,1010.0,4990.0,0.23,4.54,9.5165832,34.7114025,202.078,12.5567,5.5425066480000004e+26,1.6703399999999998e+30,80841.619,570474.0,5660332.475382468,7.77671487904546e+17,2147873524977.4553
HAT-P-2 b,HAT-P-2,1,2,Transit,2007,HATNet,0,5.63341,0.0677,0.52,1151.6170915327625,6290.0,0.12,4.21,245.1514324,41.0479601,127.774,8.59842,1.715979934368e+28,2.5850500000000003e+30,70125.597,1022679.0,232897478.01890638,4.4802951345979684e+18,576982078711.1975
HAT-P-2 b,HAT-P-2,1,2,Transit,2007,HATNet,0,5.6334729,0.06878,0.5171,1540.0,6290.0,0.14,4.16,245.1514324,41.0479601,127.774,8.59842,1.725396498e+28,2.7043600000000004e+30,82625.499,1140948.0,168681108.05805358,6.221371903236368e+18,434688689578.7708
HAT-P-2 b,HAT-P-2,1,2,Transit,2007,HATNet,0,5.63347,3.082073608070749e+18,0.52,1674.2275941337364,6412.0,0.06,4.16,245.1514324,41.0479601,127.774,8.59842,2.169651620556e+28,3.837805e+30,85696.321,1189647.0,197183864.19726834,7.05249765711227e+18,544176713923.42377
HAT-P-20 b,HAT-P-20,1,1,Transit,2010,HATNet,0,2.875317,0.0361,0.015,970.0,4595.0,0.35,4.63,111.9164295,24.3361185,71.0374,10.9903,1.37538339876e+28,1.51126e+30,61913.378,480032.99999999994,239475176.50545987,4.6334223752563526e+17,3261649548874.5225
