PlanetName,HostName,NumOfStars,NumOfPlanets,DiscoveryMethod,DiscoveryYear,DiscoveryFacility,ControversialFlag,OrbitalPeriod,OrbitSemi-MajorAxis,Eccentricity,EquilibriumTemperature,StellarEffectiveTemperature,StellarMetallicity,StellarSurfaceGravity,RightAscension,Declination,DistancetoPlanetarySystem,StellarBrightnessGaia,PlanetMass,StellarMass,PlanetRadiusKm,StellarRadiusKm,PlanetGravity,StellarVolume,StellarDensity
Kepler-1419 b,Kepler-1419,1,1,Transit,2016,Kepler,0,42.5217006,0.2391,0.0,510.0,5911.0,-0.1,4.52,292.2545917,37.971376,1498.58,15.7181,2.005574441956629e+30,2.008385e+30,15608.95,633087.0,549410722880.0206,1.0628666894192566e+18,1889592570727.161
Kepler-142 b,Kepler-142,1,3,Transit,2014,Kepler,0,2.02414559,0.0306,0.0,1610.0,5726.0,-0.06,4.22,295.1190067,48.4813635,548.686,13.197,1.8552485244872224e+30,1.8493050000000002e+30,12614.58,862668.0,778148039894.9083,2.689178775254489e+18,687683919350.0596
Kepler-142 b,Kepler-142,1,3,Transit,2014,Kepler,0,2.02414357,0.0314,0.0,1597.0,5794.0,0.07,4.26,295.1190067,48.4813635,548.686,13.197,2.0045995403736248e+30,1.9885e+30,12359.74,855711.0,875819640373.1111,2.624641271677843e+18,757627345671.0602
Kepler-142 c,Kepler-142,1,3,Transit,2014,Kepler,0,4.76170526,0.0542,0.0,1210.0,5726.0,-0.06,4.22,295.1190067,48.4813635,548.686,13.197,1.8629197562288702e+30,1.8493050000000002e+30,17711.379999999997,862668.0,396364791758.14624,2.689178775254489e+18,687683919350.0596
Kepler-142 c,Kepler-142,1,3,Transit,2014,Kepler,0,4.7617059,0.0555,0.0,1201.0,5794.0,0.07,4.26,295.1190067,48.4813635,548.686,13.197,2.000207822596949e+30,1.9885e+30,17520.25,855711.0,434910854839.47186,2.624641271677843e+18,757627345671.0602
Kepler-142 d,Kepler-142,1,3,Transit,2014,Kepler,0,41.8087668,0.2305,0.0,587.0,5726.0,-0.06,4.22,295.1190067,48.4813635,548.686,13.197,1.858657559804602e+30,1.8493050000000002e+30,9110.529999999999,862668.0,1494575370158.0376,2.689178775254489e+18,687683919350.0596
Kepler-142 d,Kepler-142,1,3,Transit,2014,Kepler,0,41.8085031,0.2361,0.0,582.0,5794.0,0.07,4.26,295.1190067,48.4813635,548.686,13.197,1.9974689311833067e+30,1.9885e+30,10639.57,855711.0,1177707943098.2156,2.624641271677843e+18,757627345671.0602
Kepler-1420 b,Kepler-1420,1,1,Transit,2016,Kepler,0,6.69960006,0.0669,0.0,802.0,5280.0,0.04,4.59,296.2038586,42.7778165,1054.37,15.8488,1.7697091910313016e+30,1.769765e+30,8409.720000000001,549603.0,1670108004410.1738,6.954019325114433e+17,2544952662999.5054
Kepler-1420 b,Kepler-1420,1,1,Transit,2016,Kepler,0,6.69958851,0.0671,0.0,806.0,5296.0,0.07,4.59,296.2038586,42.7778165,1054.37,15.8488,1.785634675850034e+30,1.7896500000000001e+30,7900.04,556560.0,1909588340127.744,7.22145285557246e+17,2478240924357.7773
Kepler-1421 b,Kepler-1421,1,1,Transit,2016,Kepler,0,6.9131112,0.0749,0.0,1131.0,6540.0,-0.18,4.38,286.5806115,48.5442312,783.401,12.7261,2.3324893868675806e+30,2.326545e+30,4523.41,800054.9999999999,7608402723916.647,2.1451029515075702e+18,1084584307883.6439
